구,동,단지명,지번주소,도로명주소,지상층(고),동수,세대수,관리사무소,데이터기준일자
분당구,구미동,까치마을건영빌라5단지,성남시 분당구 구미동 12,"경기도 성남시 분당구 미금일로 136 (구미동, 까치마을건영빌라)",4,9,208,031-717-0912,2024-07-05
분당구,구미동,"까치마을건영빌라3,6단지",성남시 분당구 구미동 13,"경기도 성남시 분당구 미금일로 122 (구미동, 까치마을건영빌라)",4,16,332,031-716-1021,2024-07-05
분당구,구미동,까치마을4단지롯데선경,성남시 분당구 구미동 63,"경기도 성남시 분당구 미금일로 58 (구미동, 까치마을)",22,16,1124,031-715-6697,2024-07-05
분당구,구미동,하얀마을그랜드빌라,성남시 분당구 구미동 111,"경기도 성남시 분당구 미금로 114 (구미동, 하얀마을그랜드빌)",4,37,324,031-717-4553,2024-07-05
분당구,구미동,하얀마을 화이트빌,성남시 분당구 구미동 121,"경기도 성남시 분당구 금곡로 39 (구미동, 화이트빌)",4,18,192,031-716-0407,2024-07-05
분당구,구미동,까치마을신원,성남시 분당구 구미동 66,"경기도 성남시 분당구 미금로 177 (구미동, 까치마을)",25,14,882,031-715-3339,2024-07-05
분당구,구미동,까치마을1단지대우,성남시 분당구 구미동 77,"경기도 성남시 분당구 미금로 184 (구미동, 까치마을)",25,16,976,031-715-6278,2024-07-05
분당구,구미동,까치마을주공2단지,성남시 분당구 구미동 88,"경기도 성남시 분당구 미금일로 22 (구미동, 까치마을)",25,9,768,031-715-0403,2024-07-05
분당구,구미동,하얀마을 주공5단지,성남시 분당구 구미동 110,"경기도 성남시 분당구 미금일로 21 (구미동, 하얀마을)",21,7,779,031-717-3403,2024-07-05
분당구,구미동,하얀마을 주공6단지,성남시 분당구 구미동 112,"경기도 성남시 분당구 미금일로 57 (구미동, 하얀마을주공6단지아파트)",21,14,1489,031-717-1216,2024-07-05
분당구,구미동,무지개마을신한건영,성남시 분당구 구미동 201,경기도 성남시 분당구 미금로 63 (구미동),20,12,964,031-715-3594,2024-07-05
분당구,구미동,무지개마을LG,성남시 분당구 구미동 202,"경기도 성남시 분당구 구미로 50 (구미동, 무지개마을)",20,14,888,031-717-0903,2024-07-05
분당구,구미동,무지개마을대림,성남시 분당구 구미동 211,"경기도 성남시 분당구 미금로 23 (구미동, 무지개마을)",27,11,778,031-718-2137,2024-07-05
분당구,구미동,무지개마을주공12단지,성남시 분당구 구미동 212,"경기도 성남시 분당구 미금로22번길 10 (구미동, 무지개마을)",25,9,905,031-715-2283,2024-07-05
분당구,구미동,무지개마을금강,성남시 분당구 구미동 213,경기도 성남시 분당구 미금로22번길 9 (구미동),19,3,216,031-717-4609,2024-07-05
분당구,구미동,무지개마을주공4단지,성남시 분당구 구미동 220,"경기도 성남시 분당구 미금로 66 (구미동, 무지개마을)",25,5,563,031-717-1467,2024-07-05
분당구,구미동,무지개마을청구,성남시 분당구 구미동 221,"경기도 성남시 분당구 무지개로 144 (구미동, 무지개마을)",23,13,932,031-718-0735,2024-07-05
분당구,구미동,무지개마을삼성건영,성남시 분당구 구미동 222,"경기도 성남시 분당구 구미로 100 (구미동, 무지개마을건영,삼성아파트)",19,8,498,031-717-5244,2024-07-05
분당구,구미동,무지개마을건영6단지(건영3차),성남시 분당구 구미동 225,"경기도 성남시 분당구 구미로 115 (구미동, 무지개마을)",16,4,208,031-717-4847,2024-07-05
분당구,구미동,무지개마을라이프,성남시 분당구 구미동 242,"경기도 성남시 분당구 구미로 143 (구미동, 무지개마을라이프아파트)",19,4,222,031-717-8621,2024-07-05
분당구,구미동,무지개마을제일,성남시 분당구 구미동 243,"경기도 성남시 분당구 구미로144번길 7 (구미동, 무지개마을제일아파트)",18,3,172,031-715-2939,2024-07-05
분당구,금곡동,청솔마을주공5단지 공무원,성남시 분당구 금곡동 125,"경기도 성남시 분당구 금곡로 263 (금곡동, 청솔마을공무원아파트)",20,8,474,031-714-4069,2024-07-05
분당구,금곡동,청솔마을주공6단지,성남시 분당구 금곡동 126,"경기도 성남시 분당구 미금로 246 (금곡동, 청솔마을주공6단지아파트)",20,9,1250,031-713-1038,2024-07-05
분당구,금곡동,청솔마을동아,성남시 분당구 금곡동 132,"경기도 성남시 분당구 금곡로 233 (금곡동, 청솔마을)",18,4,204,031-712-7201,2024-07-05
분당구,금곡동,청솔마을주공9단지,성남시 분당구 금곡동 133,"경기도 성남시 분당구 금곡로 233 (금곡동, 청솔마을)",20,6,1020,031-717-6261,2024-07-05
분당구,금곡동,청솔마을대원,성남시 분당구 금곡동 141,"경기도 성남시 분당구 미금로 215 (금곡동, 청솔마을)",25,14,820,031-713-1379,2024-07-05
분당구,금곡동,청솔마을성원,성남시 분당구 금곡동 143,"경기도 성남시 분당구 미금로 251 (금곡동, 청솔마을)",25,9,454,031-713-8476,2024-07-05
분당구,금곡동,청솔마을계룡,성남시 분당구 금곡동 176,경기도 성남시 분당구 정자일로 30 (금곡동),24,6,492,031-719-1351,2024-07-05
분당구,금곡동,청솔마을서광영남,성남시 분당구 금곡동 177,"경기도 성남시 분당구 성남대로171번길 8 (금곡동, 청솔마을)",21,6,408,031-718-2555,2024-07-05
분당구,금곡동,청솔마을화인,성남시 분당구 금곡동 180,"경기도 성남시 분당구 정자일로 46 (금곡동, 청솔마을화인아파트)",25,8,624,031-716-9155,2024-07-05
분당구,금곡동,청솔마을한라,성남시 분당구 금곡동 181,"경기도 성남시 분당구 정자일로 72 (금곡동, 청솔마을한라아파트)",22,10,768,031-714-8955,2024-07-05
분당구,금곡동,분당 두산위브 트레지움,성남시 분당구 금곡동 192,"경기도 성남시 분당구 정자일로 55 (금곡동, 분당두산위브아파트)",20,9,656,031-713-9929,2024-07-05
분당구,금곡동,코오롱더프라우,성남시 분당구 금곡동 201,"경기도 성남시 분당구 정자일로 27 (금곡동, 코오롱더프라우아파트)",33,1,164,031-726-3843,2024-07-05
분당구,금곡동,분당하우스토리,성남시 분당구 금곡동 202,"경기도 성남시 분당구 정자일로 15 (금곡동, 분당하우스토리)",20,3,212,031-718-8131,2024-07-05
분당구,대장동,판교퍼스트힐푸르지오 1단지,성남시 분당구 대장동 50,경기도 성남시 분당구 판교대장로7길 69 (대장동),20,10,529,031-726-0529,2024-07-05
분당구,대장동,판교퍼스트힐푸르지오 2단지,성남시 분당구 대장동 54,경기도 성남시 분당구 판교대장로7길 57 (대장동),20,8,445,031-726-0445,2024-07-05
분당구,대장동,더샵판교포레스트12단지,성남시 분당구 대장동 287,경기도 성남시 분당구 판교대장로5길 30 (대장동),20,9,542,031-719-9566,2024-07-05
분당구,대장동,판교풍경채어바니티5단지아파트,성남시 분당구 대장동 299,경기도 성남시 분당구 판교대장로5길 20 (대장동),20,8,589,031-711-2008,2024-07-05
분당구,대장동,더샵판교포레스트11단지,성남시 분당구 대장동 181-1,경기도 성남시 분당구 판교대장로5길 58 (대장동),20,7,448,031-719-9605,2024-07-05
분당구,대장동,힐스테이트 판교 엘포레 4단지,성남시 분당구 대장동 260-3,경기도 성남시 분당구 판교대장로5길 19 (대장동),20,5,251,031-712-7392,2024-07-05
분당구,대장동,힐스테이트 판교 엘포레 6단지,성남시 분당구 대장동 산19-2,경기도 성남시 분당구 판교대장로7길 16 (대장동),20,8,464,031-713-7392,2024-07-05
분당구,대장동,판교 풍경채 어바니티7단지,성남시 분당구 대장동 산27-8,,20,7,444,031-719-9023,2024-07-05
분당구,백현동,더샵판교퍼스트파크,성남시 분당구 백현동 516,경기도 성남시 분당구 판교백현로 38 (백현동),25,15,1223,031-705-6306,2024-07-05
분당구,백현동,백현마을9단지,성남시 분당구 백현동 525,"경기도 성남시 분당구 판교역로 49 (백현동, 백현마을 아파트)",10,15,348,031-8017-3008,2024-07-05
분당구,백현동,알파리움2단지,성남시 분당구 백현동 530,"경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지)",20,6,514,031-709-9079,2024-07-05
분당구,백현동,알파리움1단지,성남시 분당구 백현동 531,"경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)",19,5,417,031-705-7949,2024-07-05
분당구,백현동,백현마을1단지 판교푸르지오그랑블,성남시 분당구 백현동 542,"경기도 성남시 분당구 동판교로 123 (백현동, 백현마을1단지판교푸르지오그랑블아파트)",25,14,948,,2024-07-05
분당구,백현동,백현마을2단지,성남시 분당구 백현동 545,"경기도 성남시 분당구 동판교로 122 (백현동, 백현마을2단지아파트)",25,13,772,031-8016-7009,2024-07-05
분당구,백현동,백현마을3단지,성남시 분당구 백현동 546,"경기도 성남시 분당구 동판교로 92 (백현동, 백현마을3단지)",25,23,1722,031-8016-2175,2024-07-05
분당구,백현동,백현마을4단지,성남시 분당구 백현동 553,"경기도 성남시 분당구 동판교로 91 (백현동, 백현마을4단지)",25,20,1974,031-8016-2311,2024-07-05
분당구,백현동,백현마을5단지,성남시 분당구 백현동 554,"경기도 성남시 분당구 판교역로 102 (백현동, 백현마을5단지아파트)",22,11,584,031-8016-0450,2024-07-05
분당구,백현동,백현마을6단지,성남시 분당구 백현동 555,"경기도 성남시 분당구 판교역로 100 (백현동, 백현마을6단지아파트)",22,6,396,031-8016-1231,2024-07-05
분당구,백현동,백현마을8단지,성남시 분당구 백현동 558,"경기도 성남시 분당구 판교역로 72 (백현동, 백현마을8단지아파트)",22,6,340,031-709-1775,2024-07-05
분당구,백현동 ,백현마을7단지,성남시 분당구 백현동  556,"경기도 성남시 분당구 판교역로 98 (백현동, 백현마을7단지아파트)",24,7,464,031-8016-0173,2024-07-05
분당구,분당동,샛별마을라이프,성남시 분당구 분당동 34,"경기도 성남시 분당구 분당로 190 (분당동, 샛별마을라이프아파트)",25,9,796,031-701-4724,2024-07-05
분당구,분당동,샛별마을동성,성남시 분당구 분당동 35,"경기도 성남시 분당구 분당로 212 (분당동, 샛별마을동성아파트)",20,9,582,031-701-6001,2024-07-05
분당구,분당동,샛별마을우방,성남시 분당구 분당동 38,"경기도 성남시 분당구 수내로 181 (분당동, 샛별마을)",20,12,811,031-702-6976,2024-07-05
분당구,분당동,샛별마을삼부,성남시 분당구 분당동 39,"경기도 성남시 분당구 수내로 201 (분당동, 샛별마을삼부아파트)",25,14,588,031-701-4717,2024-07-05
분당구,분당동,장안타운건영2차,성남시 분당구 분당동 68,"경기도 성남시 분당구 장안로51번길 31 (분당동, 68건영아파트)",20,27,1688,031-702-4017,2024-07-05
분당구,분당동,장안타운두산건영,성남시 분당구 분당동 95,"경기도 성남시 분당구 장안로 67 (분당동, 장안타운두산건영빌라)",4,10,224,031-703-4137,2024-07-05
분당구,분당동,장안타운한신라이프,성남시 분당구 분당동 96,"경기도 성남시 분당구 분당로263번길 68 (분당동, 장안타운한신,라이프빌라)",4,10,264,031-702-2355,2024-07-05
분당구,삼평동,성남판교 경기행복주택,성남시 분당구 삼평동 700,"경기도 성남시 분당구 판교로319번길 14 (삼평동, 성남판교 경기행복주택)",8,3,300,031-8039-6114,2024-07-05
분당구,삼평동,봇들마을1단지 판교신미주,성남시 분당구 삼평동 705,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을1단지)",15,25,1147,031-702-2626,2024-07-05
분당구,삼평동,봇들마을2단지이지더원,성남시 분당구 삼평동 717,"경기도 성남시 분당구 판교로 393 (삼평동, 봇들마을2단지이지더원아파트)",15,16,721,031-703-0130,2024-07-05
분당구,삼평동,봇들마을4단지,성남시 분당구 삼평동 718,"경기도 성남시 분당구 동판교로 226 (삼평동, 봇들마을4단지아파트)",18,12,748,031-8016-2207,2024-07-05
분당구,삼평동,봇들마을3단지,성남시 분당구 삼평동 722,"경기도 성남시 분당구 동판교로 225 (삼평동, 봇들마을3단지아파트)",18,12,870,031-8016-5031,2024-07-05
분당구,삼평동,봇들마을5단지,성남시 분당구 삼평동 726,"경기도 성남시 분당구 대왕판교로644번길 65 (삼평동, 봇들마을5단지아파트)",17,9,775,031-8016-7142,2024-07-05
분당구,삼평동,봇들마을6단지,성남시 분당구 삼평동 728,"경기도 성남시 분당구 동판교로 212 (삼평동, 봇들마을6단지아파트)",20,13,1297,031-8017-3050,2024-07-05
분당구,삼평동,봇들마을7단지,성남시 분당구 삼평동 738,"경기도 성남시 분당구 동판교로 155 (삼평동, 봇들마을7단지아파트)",22,11,585,031-8016-3315,2024-07-05
분당구,삼평동,판교호반써밋플레이스,성남시 분당구 삼평동 740,"경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)",18,3,178,031-8016-3938,2024-07-05
분당구,삼평동,봇들마을8단지,성남시 분당구 삼평동 742,"경기도 성남시 분당구 동판교로 153 (삼평동, 봇들마을8단지아파트)",22,7,447,031-8016-1333,2024-07-05
분당구,삼평동,봇들마을9단지금호어울림,성남시 분당구 삼평동 744,"경기도 성남시 분당구 동판교로 156 (삼평동, 봇들마을9단지금호어울림아파트)",24,14,850,031-708-2993,2024-07-05
분당구,서현동,시범단지삼성한신,성남시 분당구 서현동 87,"경기도 성남시 분당구 중앙공원로 53 (서현동, 시범단지삼성.한신아파트)",28,33,1781,031-701-8295,2024-07-05
분당구,서현동,시범단지한양,성남시 분당구 서현동 91,"경기도 성남시 분당구 중앙공원로 17 (서현동, 한양아파트)",30,32,2419,031-701-8050,2024-07-05
분당구,서현동,시범단지현대,성남시 분당구 서현동 92,"경기도 성남시 분당구 중앙공원로 20 (서현동, 현대아파트)",30,29,1695,031-701-8061,2024-07-05
분당구,서현동,시범단지우성,성남시 분당구 서현동 96,"경기도 성남시 분당구 중앙공원로 54 (서현동, 시범단지우성아파트)",30,29,1874,031-701-8270,2024-07-05
분당구,서현동,효자촌동아,성남시 분당구 서현동 291,"경기도 성남시 분당구 돌마로486번길 7 (서현동, 효자촌)",19,15,648,031-701-7865,2024-07-05
분당구,서현동,효자촌임광,성남시 분당구 서현동 292,"경기도 성남시 분당구 불정로 397 (서현동, 효자촌임광아파트)",22,14,732,031-701-7651,2024-07-05
분당구,서현동,효자촌현대,성남시 분당구 서현동 300,"경기도 성남시 분당구 분당로201번길 17 (서현동, 효자촌)",22,14,710,031-701-5953,2024-07-05
분당구,서현동,효자촌삼환,성남시 분당구 서현동 301,"경기도 성남시 분당구 불정로 361 (서현동, 효자촌)",20,14,632,031-701-4691,2024-07-05
분당구,서현동,서현미래타운,성남시 분당구 서현동 307,"경기도 성남시 분당구 불정로386번길 10 (서현동, 효자촌미래타운아파트)",22,4,160,031-705-3868,2024-07-05
분당구,서현동,서현효자촌그린타운,성남시 분당구 서현동 308,"경기도 성남시 분당구 불정로 362 (서현동, 효자촌대우,럭키,화성아파트)",25,22,1774,031-704-1297,2024-07-05
분당구,수내동,분당지웰푸르지오,성남시 분당구 수내동 1-1,"경기도 성남시 분당구 수내로 39 (수내동, 분당지웰푸르지오)",28,3,166,031-718-2101,2024-07-05
분당구,수내동,양지마을한양1단지(501~514동),성남시 분당구 수내동 24,"경기도 성남시 분당구 내정로165번길 35 (수내동, 양지마을한양아파트)",15,13,1010,031-713-2091,2024-07-05
분당구,수내동,"양지마을한양2단지(515~529동), 603동",성남시 분당구 수내동 24,"경기도 성남시 분당구 내정로165번길 35 (수내동, 양지마을한양아파트)",25,16,996,031-711-2108,2024-07-05
분당구,수내동,양지마을금호3단지,성남시 분당구 수내동 27,"경기도 성남시 분당구 내정로 151 (수내동, 양지마을금호3단지한양5단지아파트)",21,6,414,031-711-2061,2024-07-05
분당구,수내동,"양지마을금호1,6단지(602동)",성남시 분당구 수내동 34,"경기도 성남시 분당구 수내로 74 (수내동, 양지마을)",26,17,1076,031-711-2060,2024-07-05
분당구,수내동,양지마을청구,성남시 분당구 수내동 36,"경기도 성남시 분당구 내정로 185 (수내동, 양지마을)",25,14,896,031-711-3378,2024-07-05
분당구,수내동,파크타운롯데,성남시 분당구 수내동 55,"경기도 성남시 분당구 내정로 152 (수내동, 파크타운)",30,41,3028,031-711-9644,2024-07-05
분당구,수내동,푸른마을 신성벽산쌍용,성남시 분당구 수내동 73,"경기도 성남시 분당구 수내로 206 (수내동, 푸른마을)",22,50,2598,031-711-1121,2024-07-05
분당구,야탑동,"야탑동,목련마을SK",성남시 분당구 야탑동 147,"경기도 성남시 분당구 판교로743번길 7 (야탑동, 목련마을에스케이아파트)",15,5,272,031-709-9132,2024-07-05
분당구,야탑동,목련마을영남,성남시 분당구 야탑동 156,"경기도 성남시 분당구 판교로 669 (야탑동, 목련마을)",17,4,294,031-707-6047,2024-07-05
분당구,야탑동,목련마을한일,성남시 분당구 야탑동 162,"경기도 성남시 분당구 판교로 645 (야탑동, 목련마을)",18,4,278,031-707-7841,2024-07-05
분당구,야탑동,목련마을한신,성남시 분당구 야탑동 163,"경기도 성남시 분당구 판교로 627 (야탑동, 목련마을)",15,5,264,031-703-4883,2024-07-05
분당구,야탑동,목련마을주공1단지,성남시 분당구 야탑동 165,"경기도 성남시 분당구 판교로 607 (야탑동, 목련마을)",15,12,1460,031-705-3039,2024-07-05
분당구,야탑동,목련마을대원빌라,성남시 분당구 야탑동 173,"경기도 성남시 분당구 야탑로245번길 11 (야탑동, 목련마을대원빌라)",4,6,172,031-704-2599,2024-07-05
분당구,야탑동,목련마을자영빌라(대원빌라3단지),성남시 분당구 야탑동 177,"경기도 성남시 분당구 야탑로271번길 7 (야탑동, 목련마을자영빌라)",4,9,216,031-702-3514,2024-07-05
분당구,야탑동,목련마을화성빌리지,성남시 분당구 야탑동 185,"경기도 성남시 분당구 야탑로271번길 28 (야탑동, 목련마을화성빌리지)",4,11,224,031-705-7750,2024-07-05
분당구,야탑동,SK VIEW,성남시 분당구 야탑동 188,"경기도 성남시 분당구 돌마로 906 (야탑동, SK VIEW)",20,4,175,031-703-9400,2024-07-05
분당구,야탑동,분당동원로얄듀크,성남시 분당구 야탑동 190,"경기도 성남시 분당구 돌마로 908 (야탑동, 분당동원로얄듀크)",22,4,166,031-781-9831,2024-07-05
분당구,야탑동,매화마을주공1단지,성남시 분당구 야탑동 201,"경기도 성남시 분당구 매화로 92 (야탑동, 매화마을공무원아파트)",20,6,562,031-707-6647,2024-07-05
분당구,야탑동,매화마을주공3단지,성남시 분당구 야탑동 207,"경기도 성남시 분당구 양현로 507 (야탑동, 매화마을주공3단지아파트)",15,16,851,031-705-3037,2024-07-05
분당구,야탑동,매화마을주공4단지,성남시 분당구 야탑동 211,"경기도 성남시 분당구 장미로 193 (야탑동, 매화마을)",15,7,643,031-705-3038,2024-07-05
분당구,야탑동,매화마을주공2단지,성남시 분당구 야탑동 215,"경기도 성남시 분당구 장미로 139 (야탑동, 매화마을공무원아파트)",21,17,1185,031-703-4947,2024-07-05
분당구,야탑동,매화마을벽산연립,성남시 분당구 야탑동 218,"경기도 성남시 분당구 벌말로50번길 27 (야탑동, 매화마을현대,벽산연립)",4,10,252,031-702-1480,2024-07-05
분당구,야탑동,매화마을건영1차,성남시 분당구 야탑동 265,"경기도 성남시 분당구 벌말로30번길 32 (야탑동, 매화마을건영빌라)",4,11,248,031-706-9723,2024-07-05
분당구,야탑동,매화마을동신건영2차,성남시 분당구 야탑동 266,"경기도 성남시 분당구 벌말로30번길 12 (야탑동, 매화마을동신,건영빌라)",4,12,240,031-706-7498,2024-07-05
분당구,야탑동,장미마을현대,성남시 분당구 야탑동 335,"경기도 성남시 분당구 장미로 101 (야탑동, 장미마을)",20,25,2136,031-705-2014,2024-07-05
분당구,야탑동,아이파크,성남시 분당구 야탑동 391,"경기도 성남시 분당구 야탑로 125 (야탑동, 아이파크)",15,5,270,031-702-1323,2024-07-05
분당구,야탑동,"탑마을타워빌(경향,기산,진덕,남광)",성남시 분당구 야탑동 511,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을타워빌)",22,20,1166,031-705-6691,2024-07-05
분당구,야탑동,탑마을벽산,성남시 분당구 야탑동 517,"경기도 성남시 분당구 야탑로 124 (야탑동, 탑마을벽산아파트)",23,12,646,031-705-3561,2024-07-05
분당구,야탑동,탑마을주공8단지,성남시 분당구 야탑동 518,"경기도 성남시 분당구 매화로 12 (야탑동, 탑마을)",15,9,701,031-705-3036,2024-07-05
분당구,야탑동,탑마을경남,성남시 분당구 야탑동 526,"경기도 성남시 분당구 판교로 519 (야탑동, 탑마을경남아너스빌)",23,16,884,031-706-2108,2024-07-05
분당구,야탑동,탑마을대우,성남시 분당구 야탑동 535,"경기도 성남시 분당구 판교로 421 (야탑동, 탑마을대우아파트)",17,12,654,031-704-4993,2024-07-05
분당구,야탑동,탑마을선경,성남시 분당구 야탑동 536,"경기도 성남시 분당구 야탑로 20 (야탑동, 탑마을선경아파트)",16,16,976,031-703-0548,2024-07-05
분당구,야탑동,장미마을동부,"성남시 분당구 야탑동 330, 331","경기도 성남시 분당구 장미로 55 (야탑동, 장미마을)",17,21,1134,031-704-6738,2024-07-05
분당구,야탑동,장미마을코오롱,"성남시 분당구 야탑동 330, 331","경기도 성남시 분당구 장미로 55 (야탑동, 장미마을)",16,18,1082,031-704-6975,2024-07-05
분당구,운중동, LIG건영,성남시 분당구 운중동 899,"경기도 성남시 분당구 판교원로 7 (운중동, LIG건영아파트)",25,3,222,031-8016-0111,2024-07-05
분당구,운중동, 산운마을14단지 경남아너스빌,성남시 분당구 운중동 916,"경기도 성남시 분당구 판교원로82번길 60 (운중동, 경남아너스빌아파트)",18,12,492,031-8016-0455,2024-07-05
분당구,운중동, 산운마을13단지,성남시 분당구 운중동 918,"경기도 성남시 분당구 판교원로82번길 30 (운중동, 산운마을13단지아파트)",35,12,1396,031-8016-2340,2024-07-05
분당구,운중동, 산운마을12단지,성남시 분당구 운중동 921,"경기도 성남시 분당구 판교원로 46 (운중동, 산운마을12단지아파트)",18,10,510,031-8016-6608,2024-07-05
분당구,운중동, 산운마을11단지,성남시 분당구 운중동 922,"경기도 성남시 분당구 판교원로 68 (운중동, 산운마을11단지아파트)",18,10,504,031-8016-6601,2024-07-05
분당구,운중동, 산운마을10단지 대광로제비앙,성남시 분당구 운중동 949,"경기도 성남시 분당구 판교원로81번길 15 (운중동, 산운마을대광로제비앙아파트)",18,4,257,031-701-2984,2024-07-05
분당구,운중동, 산운마을8단지 판교부영,성남시 분당구 운중동 956,"경기도 성남시 분당구 산운로 98 (운중동, 산운마을8단지아파트)",21,6,371,031-701-3941,2024-07-05
분당구,운중동,산운마을9단지 판교대방노블랜드,성남시 분당구 운중동 958,"경기도 성남시 분당구 산운로 126 (운중동, 판교대방노블랜드아파트)",18,4,266,031-704-0986,2024-07-05
분당구,운중동, 산운마을7단지,성남시 분당구 운중동 987,"경기도 성남시 분당구 산운로 135 (운중동, 산운마을7단지아파트)",4,21,206,031-8017-3371,2024-07-05
분당구,운중동, 산운마을6단지,성남시 분당구 운중동 988,"경기도 성남시 분당구 산운로 121 (운중동, 산운마을6단지아파트)",17,10,256,031-701-1044,2024-07-05
분당구,운중동,산운마을5단지 한성필하우스,성남시 분당구 운중동 989,"경기도 성남시 분당구 산운로 97 (운중동, 한성필하우스아파트)",18,5,268,031-702-4777,2024-07-05
분당구,이매동,이매촌삼환,성남시 분당구 이매동 99,"경기도 성남시 분당구 양현로 220 (이매동, 이매촌삼환아파트)",25,10,572,031-703-3971,2024-07-05
분당구,이매동,이매촌삼성,성남시 분당구 이매동 100,"경기도 성남시 분당구 양현로 220 (이매동, 이매촌삼성아파트)",21,27,1162,031-706-2561,2024-07-05
분당구,이매동,이매촌동신9단지,성남시 분당구 이매동 110,"경기도 성남시 분당구 양현로166번길 20 (이매동, 이매촌동신9단지아파트)",18,10,458,031-704-3220,2024-07-05
분당구,이매동,이매촌진흥,성남시 분당구 이매동 111,"경기도 성남시 분당구 양현로 138 (이매동, 이매촌진흥아파트)",25,13,832,031-705-1057,2024-07-05
분당구,이매동,이매촌성지,성남시 분당구 이매동 116,"경기도 성남시 분당구 이매로 54 (이매동, 이매촌성지아파트)",18,4,304,031-703-1397,2024-07-05
분당구,이매동,이매촌동신3단지,성남시 분당구 이매동 117,"경기도 성남시 분당구 양현로94번길 28 (이매동, 이매촌)",20,9,460,031-704-3271,2024-07-05
분당구,이매동,이매촌동부코오롱,성남시 분당구 이매동 121,"경기도 성남시 분당구 양현로 88 (이매동, 이매촌동부코오롱아파트)",20,4,264,031-705-5216,2024-07-05
분당구,이매동,이매촌금강,성남시 분당구 이매동 122,"경기도 성남시 분당구 서현로 177 (이매동, 이매촌)",23,7,588,031-703-1114,2024-07-05
분당구,이매동,이매촌청구,성남시 분당구 이매동 123,"경기도 성남시 분당구 양현로94번길 29 (이매동, 이매촌)",25,13,710,031-703-0491,2024-07-05
분당구,이매동,이매촌한신,성남시 분당구 이매동 124,"경기도 성남시 분당구 서현로 181 (이매동, 이매촌)",25,12,1184,031-704-3797,2024-07-05
